career_title,required_skills,salary_min,salary_max,demand_level,automation_risk,competition_level,job_type,market_trend,salary_growth_rate
Agile Coach,"Agile,Scrum,SAFe,Kanban,Lean,Coaching,Leadership,Facilitation,Conflict Resolution,Organizational Change,Metrics,Retrospectives,OKRs,Team Dynamics,Communication,Servant Leadership,Training,Continuous Improvement,PI Planning,DevOps Culture",90000,155000,7,20,6,Hybrid,Stable,3.0
Health Informatics Specialist,"EHR Systems,HL7,FHIR,Clinical Workflows,SQL,Python,HIPAA Compliance,Healthcare Analytics,Interoperability,Clinical Terminology,SNOMED,ICD-10,Data Governance,Healthcare IT,Project Management,Communication,Epic,Cerner,Data Quality,Training",65000,115000,8,25,5,Hybrid,Rising,6.5
Algorithmic Trader,"Python,C++,Statistics,Market Microstructure,Quantitative Finance,Backtesting,Algo Trading Platforms,Machine Learning,Time Series Analysis,Risk Management,Bloomberg API,Financial Modeling,SQL,Data Analysis,Linux,Low-latency Programming,Options Pricing,Portfolio Optimization,R,Git",90000,175000,7,40,8,On-site,Moderate,5.0
UX Researcher,"User Research,Usability Testing,Qualitative Methods,Quantitative Research,Survey Design,Interviews,A/B Testing,Statistical Analysis,Figma,User Personas,Journey Mapping,Research Planning,Report Writing,Presentation Skills,Empathy,Communication,Data Analysis,Prototyping,Information Architecture,Stakeholder Management",65000,120000,7,20,6,Hybrid,Moderate,5.0
Accessibility Specialist,"WCAG,ARIA,HTML,CSS,Screen Readers,Assistive Technology,Accessibility Testing,Axe,Keyboard Navigation,Color Contrast,JavaScript,PDF Accessibility,Mobile Accessibility,User Research,Documentation,Legal Compliance,Training,NVDA,JAWS,Color Theory",55000,100000,7,20,5,Remote,Moderate,5.0
Motion Graphics Designer,"After Effects,Cinema 4D,Premiere Pro,Illustrator,Photoshop,Motion Design,Animation Principles,Compositing,Typography,Storyboarding,3D Animation,Color Grading,Sound Design,Creative Thinking,Client Communication,Collaboration,Rendering,Expressions,Character Animation,Visual Storytelling",45000,85000,6,28,7,Hybrid,Stable,3.0
Game Designer,"Game Mechanics,Storytelling,Prototyping,Unity,Level Design,Balancing,User Research,Storyboarding,Documentation,Communication,Figma,Excel,Playtesting,Narrative Design,Systems Thinking,Player Psychology,JIRA,Competitive Analysis,Monetization,3D Thinking",45000,95000,6,20,8,On-site,Stable,3.0
Low-Code Developer,"Power Apps,Power Automate,Bubble,OutSystems,Mendix,SharePoint,SQL Basics,REST APIs,Business Process Automation,UI Design,Data Modeling,Microsoft 365,Zapier,Airtable,Excel,Requirements Analysis,Testing,Documentation,Stakeholder Communication,Logic Building",45000,90000,8,50,5,Hybrid,Rising,5.0
Technical Support Engineer,"Linux,Windows,Troubleshooting,Networking,Customer Service,Ticketing Systems,Python Scripting,SQL,Documentation,Communication,APIs,Cloud Platforms,Database Administration,Log Analysis,Incident Management,Remote Desktop,ITIL,Monitoring Tools,Shell Scripting,SLA Management",38000,78000,8,45,5,Hybrid,Stable,3.0
API Developer,"REST APIs,GraphQL,Python,Node.js,API Design,OpenAPI Swagger,Authentication,OAuth,JWT,Rate Limiting,API Gateway,Documentation,Postman,Testing,Docker,Git,Microservices,JSON,gRPC,Version Management",60000,115000,9,28,7,Remote,Moderate,5.0
